Serial No.,Student Name,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Admitted
433,Alaknanda Gola ,324,112,4,4.5,4,9.22,1,N
434,Aastha Sem ,316,111,4,4,5,8.54,0,N
435,Nitika Sachar ,306,103,3,3.5,3,8.21,0,N
436,Nupur Jaggi ,309,105,2,2.5,4,7.68,0,N
437,Padama Dayal ,310,110,1,1.5,4,7.23,1,N
438,Lalita Kakar ,317,106,1,1.5,3.5,7.65,1,N
439,Mahmood Bhalla ,318,110,1,2.5,3.5,8.54,1,N
440,Avantika Garg ,312,105,2,1.5,3,8.46,0,N
441,Aruna Shan ,305,104,2,2.5,1.5,7.79,0,N
442,Manjari Char ,332,112,1,1.5,3,8.66,1,N
443,Pinky Dyal ,331,116,4,4.5,4.5,9.44,1,Y
444,Gunjan Kar ,321,114,5,4.5,4.5,9.16,1,N
445,Zahir Cherian ,324,113,5,4,5,9.25,1,Y
446,Kasturba Gara ,328,116,5,4.5,5,9.08,1,Y
447,Nancy Chhabra ,327,118,4,5,5,9.67,1,Y
448,Rehman Natt ,320,108,3,3.5,5,8.97,1,N
449,Nancy Mathai ,312,109,2,2.5,4,9.02,0,N
450,Ghalib Narine ,315,101,3,3.5,4.5,9.13,0,N
451,Deepesh Anand ,320,112,4,3,4.5,8.86,1,N
452,Mona Chopra ,324,113,4,4.5,4.5,9.25,1,N
453,Rupesh Tiwari ,328,116,4,5,3.5,9.6,1,Y
454,Zeenat Mahajan ,319,103,3,2.5,4,8.76,1,N
455,Ajinkya Ram ,310,105,2,3,3.5,8.01,0,N
456,Sabina Ramachandran ,305,102,2,1.5,2.5,7.64,0,N
457,Iqbal Pai ,299,100,2,2,2,7.88,0,N
458,Aayushman Srinivasan ,295,99,1,2,1.5,7.57,0,N
459,Deepesh Chander ,312,100,1,3,3,8.53,1,N
460,Kamini Gola ,329,113,4,4,3.5,9.36,1,N
461,Amrita Narula ,319,105,4,4,4.5,8.66,1,N
462,Arjun Parikh ,301,102,3,2.5,2,8.13,1,N
463,Ajinkya Muni ,307,105,4,3,3,7.94,0,N
464,Tushar Sanghvi ,304,107,3,3.5,3,7.86,0,N
465,Indrani Shanker ,298,97,2,2,3,7.21,0,N
466,Sameedha Savant ,305,96,4,3,4.5,8.26,0,N
467,Jiya Malhotra ,314,99,4,3.5,4.5,8.73,1,N
468,Emran Sangha ,318,101,5,3.5,5,8.78,1,N
469,Kamlesh Acharya ,323,110,4,4,5,8.88,1,N
470,Daanish Anthony ,326,114,4,4,3.5,9.16,1,N
471,Pinky Chaudry ,320,110,5,4,4,9.27,1,N
472,Kabeer Somani ,311,103,3,2,4,8.09,0,N
473,Runjhun Pingle ,327,116,4,4,4.5,9.48,1,Y
474,Deepesh Dutt ,316,102,2,4,3.5,8.15,0,N
475,Nishi Gupta ,308,105,4,3,2.5,7.95,1,N
476,Arjun Grewal ,300,101,3,3.5,2.5,7.88,0,N
477,Chandni Dua ,304,104,3,2.5,2,8.12,0,N
478,Mona Hegde ,309,105,4,3.5,2,8.18,0,N
479,Lakshmi Lanka ,318,103,3,4,4.5,8.49,1,N
480,Subhash Srinivasan ,325,110,4,4.5,4,8.96,1,N
481,Aarif Amble ,321,102,3,3.5,4,9.01,1,N
482,Kamini Bobal ,323,107,4,3,2.5,8.48,1,N
483,Aayushi Naidu ,328,113,4,4,2.5,8.77,1,N
484,Amrita Khare ,304,103,5,5,3,7.92,0,N
485,Radhe Choudhary ,317,106,3,3.5,3,7.89,1,N
486,Krishna Malhotra ,311,101,2,2.5,3.5,8.34,1,N
487,Hina Magar ,319,102,3,2.5,2.5,8.37,0,N
488,Naval Tandon ,327,115,4,3.5,4,9.14,0,N
489,Rakhi Parikh ,322,112,3,3,4,8.62,1,N
490,Albert Prabhakar ,302,110,3,4,4.5,8.5,0,N
491,Padmini Bhasin ,307,105,2,2.5,4.5,8.12,1,N
492,Vaishali Hora ,297,99,4,3,3.5,7.81,0,N
493,Diya Venkataraman ,298,101,4,2.5,4.5,7.69,1,N
494,Jagruti Rau ,300,95,2,3,1.5,8.22,1,N
495,Vijay Sankar ,301,99,3,2.5,2,8.45,1,N
496,Niyati Khanna ,332,108,5,4.5,4,9.02,1,N
497,Mini Kala ,337,117,5,5,5,9.87,1,Y
498,Nandini Dixit ,330,120,5,4.5,5,9.56,1,Y
499,Madhu Jacob ,312,103,4,4,5,8.43,0,N
500,Kartik Murty ,327,113,4,4.5,4.5,9.04,0,N
